personid,treatment,performance,performance_pre,age,tenure,basewage,costofcommute,children,bedroom,expgroup,men,married
25700,1,-0.7827912,-0.7591874,27,32,1638.8889,0,no,yes,1,1,0
25864,0,0.7863248,0.53227252,20,31,1650,0,no,yes,0,0,0
25940,1,-0.68818724,0.52405357,24,31,1755.5555,10,no,yes,1,0,1
25962,1,-0.32238331,-0.23957241,24,31,1600,4,yes,yes,1,1,1
26328,1,-1.045475,-1.2317928,22,31,1566.6666,0,no,no,1,1,0
26618,1,-1.0995302,-0.78081286,24,30,1600,0,no,yes,1,1,0
26634,0,-0.040162601,0.41352496,26,30,1600,2,no,yes,0,0,0
26906,0,-1.1636821,0.009408872,24,30,1755.5555,10,no,yes,0,0,0
26934,1,0.75511724,0.34132719,24,30,1600,6,no,yes,1,0,0
27704,0,0.24592848,0.42826033,26,28,1500,4,no,yes,0,0,0
28190,0,-0.31928149,0.085549563,25,27,1550,10,no,yes,0,0,0
28224,0,-0.055397976,0.10593522,27,27,1550,0,yes,yes,0,1,1
28226,1,-0.85774118,-0.97182977,23,27,1550,15,no,yes,1,1,0
28470,1,0.4146339,-0.55329293,24,27,1550,30,no,yes,1,1,0
28484,0,0.063823856,0.12908998,23,27,1450,5,yes,yes,0,0,1
28492,1,-1.1527623,-0.92371774,24,27,1600,0,no,yes,1,0,0
28560,0,-1.4216137,0.10675242,20,27,1683.3334,10,no,yes,0,0,0
29024,0,-1.3520305,-0.7358923,26,26,1550,10,no,yes,0,1,0
29032,1,-0.81309962,-0.38984469,23,26,1550,9,no,yes,1,1,0
29172,0,0.50792253,0.634947,26,26,1566.6666,9,no,yes,0,1,0
29216,1,-0.73279583,0.40302351,26,26,1683.3334,30,no,yes,1,1,0
29230,1,-0.39090815,0.54962552,24,26,1583.3334,0,no,yes,1,0,0
29248,0,-0.8886674,-0.81495267,27,26,1550,10,yes,yes,0,1,1
29808,1,-2.56781E-05,-0.86989993,25,25,1600,2,yes,yes,1,1,1
29996,0,-0.70229691,-0.26659715,23,25,1550,5,no,yes,0,1,1
30002,0,-1.0593888,-0.34666067,26,25,1616.6666,12,no,yes,0,1,0
30006,1,-0.87182164,-0.22568052,24,25,1550,5,no,yes,1,0,0
30014,1,0.020806516,0.16178729,30,25,1550,5,no,yes,1,1,0
30308,1,0.5719499,0.82326567,21,25,1583.3334,0,no,no,1,0,0
30448,1,-1.19633,-0.45293245,23,25,1638.8889,30,no,yes,1,1,0
30972,1,-0.38864043,-0.67906117,27,24,1550,8,no,yes,1,1,0
31136,0,-0.46576527,-0.10442954,23,24,1550,8,no,yes,0,1,0
31150,0,-0.24766727,0.095728457,23,24,1550,3,no,yes,0,0,0
31230,1,-0.76511496,0.15558065,24,24,1550,14,no,yes,1,0,1
31292,1,1.1412451,0.7668246,27,24,1600,4,no,yes,1,0,0
31796,1,-0.54856455,0.83750254,24,24,1550,4,no,yes,1,0,1
31888,0,0.75549644,0.97445577,27,23,1550,8,yes,yes,0,0,1
31936,1,-0.17090698,-0.28226873,25,23,1550,17.727272,no,yes,1,1,0
32320,0,0.005824731,0.33135656,22,23,1600,4,no,yes,0,0,0
32590,1,-1.4817407,-0.59988534,28,23,1550,8,no,yes,1,1,0
