super_opeid,name,type,tier,iclevel,state,parq,share,kq5_cond_parq
2115,Amherst College,Private Non-profit,Other elite schools (public and private),Four-year,MA,5,.70602298,.61714137
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,1,.10462378,.061690398
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,2,.20454895,.16158724
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,3,.28308892,.085562304
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,4,.27075192,.13869457
1784,Ancilla Domini College,Private Non-profit,Two-year (public and private not-for-profit),Two-year,IN,5,.13698658,.28053096
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,1,.052718632,.13535394
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,2,.098190263,.21519531
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,3,.21165113,.19751686
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,4,.30204177,.2196364
1785,"Anderson University of Anderson, IN",Private Non-profit,Selective private,Four-year,IN,5,.33539814,.25938502
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,1,.085361473,.14020874
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,2,.14384307,.13285895
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,3,.23654573,.05951228
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,4,.31470928,.10739376
3418,"Anderson University of Anderson, SC",Private Non-profit,Nonselective four-year private not-for-profit,Four-year,SC,5,.21954045,.20065962
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,1,.093424968,.25738013
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,2,.17074327,.26434872
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,3,.23247668,.27398503
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,4,.26152712,.29007512
2238,Andrews University,Private Non-profit,Selective private,Four-year,MI,5,.24182813,.36035407
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,1,.26211667,.087828457
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,2,.24923988,.11899942
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,3,.22263774,.15763588
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,4,.16984451,.19062641
6661,Angelina College,Public,Two-year (public and private not-for-profit),Two-year,TX,5,.096161284,.26793209
3541,Angelo State University,Public,Selective public,Four-year,TX,1,.11666122,.18082206
3541,Angelo State University,Public,Selective public,Four-year,TX,2,.17981094,.24873503
3541,Angelo State University,Public,Selective public,Four-year,TX,3,.25133204,.25840032
3541,Angelo State University,Public,Selective public,Four-year,TX,4,.27265513,.29365325
3541,Angelo State University,Public,Selective public,Four-year,TX,5,.17954072,.3483637
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,1,.050080616,.33853337
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,2,.12086296,.31681356
2117,Anna Maria College,Private Non-profit,Selective private,Four-year,MA,3,.18476796,.2520833
